Descriptor;Shape;OH2;DRY;O;N1;Other
V;1;0;0;0;0;0
S;1;0;0;0;0;0
R;1;0;0;0;0;0
G;1;0;0;0;0;0
W1;0;1;0;0;0;0
W2;0;1;0;0;0;0
W3;0;1;0;0;0;0
W4;0;1;0;0;0;0
W5;0;1;0;0;0;0
W6;0;1;0;0;0;0
W7;0;1;0;0;0;0
W8;0;1;0;0;0;0
IW1;0;1;0;0;0;0
IW2;0;1;0;0;0;0
IW3;0;1;0;0;0;0
IW4;0;1;0;0;0;0
CW1;0;1;0;0;0;0
CW2;0;1;0;0;0;0
CW3;0;1;0;0;0;0
CW4;0;1;0;0;0;0
CW5;0;1;0;0;0;0
CW6;0;1;0;0;0;0
CW7;0;1;0;0;0;0
CW8;0;1;0;0;0;0
PSA;0;1;0;0;0;0
PSAR;0;1;0;0;0;0
D1;0;0;1;0;0;0
D2;0;0;1;0;0;0
D3;0;0;1;0;0;0
D4;0;0;1;0;0;0
D5;0;0;1;0;0;0
D6;0;0;1;0;0;0
D7;0;0;1;0;0;0
D8;0;0;1;0;0;0
DD1;0;0;1;0;0;0
DD2;0;0;1;0;0;0
DD3;0;0;1;0;0;0
DD4;0;0;1;0;0;0
DD5;0;0;1;0;0;0
DD6;0;0;1;0;0;0
DD7;0;0;1;0;0;0
DD8;0;0;1;0;0;0
ID1;0;0;1;0;0;0
ID2;0;0;1;0;0;0
ID3;0;0;1;0;0;0
ID4;0;0;1;0;0;0
CD1;0;0;1;0;0;0
CD2;0;0;1;0;0;0
CD3;0;0;1;0;0;0
CD4;0;0;1;0;0;0
CD5;0;0;1;0;0;0
CD6;0;0;1;0;0;0
CD7;0;0;1;0;0;0
CD8;0;0;1;0;0;0
HSA;0;0;1;0;0;0
PHSAR;0;0;1;0;0;0
WO1;0;0;0;1;0;0
WO2;0;0;0;1;0;0
WO3;0;0;0;1;0;0
WO4;0;0;0;1;0;0
WO5;0;0;0;1;0;0
WO6;0;0;0;1;0;0
WN1;0;0;0;0;1;0
WN2;0;0;0;0;1;0
WN3;0;0;0;0;1;0
WN4;0;0;0;0;1;0
WN5;0;0;0;0;1;0
WN6;0;0;0;0;1;0
HL1;0;0;0;0;0;1
HL2;0;0;0;0;0;1
A;0;0;0;0;0;1
CP;0;0;0;0;0;1
DRDRDR;0;0;0;0;0;1
DRDRAC;0;0;0;0;0;1
DRDRDO;0;0;0;0;0;1
DRACAC;0;0;0;0;0;1
DRACDO;0;0;0;0;0;1
DRDODO;0;0;0;0;0;1
ACACAC;0;0;0;0;0;1
ACACDO;0;0;0;0;0;1
ACDODO;0;0;0;0;0;1
DODODO;0;0;0;0;0;1